,SMILES_NS,pIC50,activity
0,C1=Cc2cccnc2N(C2CC2)c2ncccc21,6.2,0
1,C=Cc1s/c(=N\S(=O)(=O)c2cccc([N+](=O)[O-])c2)n(C)c1C,5.21,0
2,CC(=O)c1c(C)nc2c(c(C#N)cn2Cc2ccccc2)c1-c1ccc([N+](=O)[O-])cc1,4.82,0
3,CC(C)c1nc(COC(N)=O)n(Cc2ccncc2)c1Sc1cc(Cl)cc(Cl)c1,7.17,1
4,CC(C)c1s/c(=N\S(=O)(=O)c2cc(Br)ccc2O)n(C)c1Cl,7.4,1
5,CC(C)c1s/c(=N\S(=O)(=O)c2cc(C#N)ccc2C#N)n(C)c1Cl,5.52,0
6,CC(C)c1s/c(=N\S(=O)(=O)c2cc(Cl)ccc2C#N)n(C)c1Cl,5.4,0
7,CC(C)c1s/c(=N\S(=O)(=O)c2cc(Cl)ccc2O)n(C)c1Cl,6.8,1
8,CC(C)c1s/c(=N\S(=O)(=O)c2cccc([N+](=O)[O-])c2)n(C)c1C(F)(F)F,4.38,0
9,CC(C)c1s/c(=N\S(=O)(=O)c2cccc([N+](=O)[O-])c2)n(C)c1Cl,5.16,0
10,CC1(C)CC(=O)c2c(nc3c(c(C#N)cn3Cc3ccccc3)c2-c2ccccc2)C1,5.04,0
11,CC1(C)OC(=O)Nc2cccc(Oc3cc(Cl)cc(C#N)c3)c21,6.1,0
12,CCC(O)c1cnc(-c2[nH]c3ccc(Br)cc3c2S(=O)(=O)N2CCCC2)[nH]1,7.21,1
13,CCC(OC)c1cnc(-c2[nH]c3ccc(Br)cc3c2S(=O)(=O)N2CCCC2)[nH]1,6.96,1
14,CCC1(c2ccc(C)cc2)Oc2ccccc2-n2cccc2C1=O,5.11,0
15,CCC1(c2ccc(CNc3cccc(F)c3)cc2)Oc2ccccc2-n2cccc2C1=O,5.64,0
16,CCC1(c2ccc(CNc3ccccc3)cc2)Oc2ccccc2-n2cccc2C1=O,5.6,0
17,CCC1(c2ccc(COc3cccc(Cl)c3)cc2)Oc2ccccc2-n2cccc2C1=O,6.52,1
18,CCC1(c2ccc(COc3ccccc3)cc2)Oc2ccccc2-n2cccc2C1=O,6.4,0
19,CCC1(c2ccc(COc3ccccc3C(C)=O)cc2)Oc2ccccc2-n2cccc2C1=O,5.3,0
20,CCC1(c2ccc(COc3ccccc3Cl)cc2)Oc2ccccc2-n2cccc2C1=O,5.3,0
21,CCC1(c2ccc(COc3cccnc3)cc2)Oc2ccccc2-n2cccc2C1=O,5.7,0
22,CCC1(c2ccc(CSc3ccc(F)cc3)cc2)Oc2ccccc2-n2cccc2C1=O,5.47,0
23,CCC1(c2ccc(CSc3ccccc3)cc2)Oc2ccccc2-n2cccc2C1=O,6.6,1
24,CCC1(c2ccc(Cn3ccsc3=N)cc2)Oc2ccccc2-n2cccc2C1=O,5.3,0
25,CCC1(c2cccc(C)c2)Oc2ccccc2-n2cccc2C1=O,5.96,0
26,CCC1(c2cccc(COc3ccccc3)c2)Oc2ccccc2-n2cccc2C1=O,5.31,0
27,CCC1(c2cccc(Cl)c2)Cc2ccccc2-n2cccc2C1=O,5.0,0
28,CCC1(c2cccc(N)c2)Oc2ccccc2-n2cccc2C1=O,5.7,0
29,CCC1(c2cccc(OC)c2)Oc2ccccc2-n2cccc2C1=O,7.66,1
30,CCCCn1cc(C#N)c2c(-c3ccc(C(F)(F)F)cc3F)c3c(nc21)-c1ccccc1C3=O,4.55,0
31,CCCc1[nH]c(-c2[nH]c3ccc(Cl)cc3c2S(=O)(=O)c2ccccc2)nc1C,6.68,1
32,CCN(CC)CCCNc1ccc(NC(=O)COc2ccc(Cl)cc2C(=O)c2cc(F)cc(F)c2)c(C)c1,7.02,1
33,CCN1c2ncc(CCc3cccc(N)c3)cc2C(=O)N(C)c2ccc(Cl)nc21,8.0,1
34,CCN1c2ncc(CCc3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21,7.3,1
35,CCN1c2ncc(CCc3ccnc(N)c3)cc2C(=O)N(C)c2ccc(Cl)nc21,8.0,1
36,CCN1c2ncc(CCc3ccncc3)cc2C(=O)N(C)c2ccc(Cl)nc21,6.92,1
37,CCN1c2ncc(CCc3ccncc3)cc2C(=O)N(C)c2ccc(F)nc21,7.7,1
38,CCN1c2ncc(CNc3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21,7.3,1
39,CCN1c2ncc(COc3cccc(C(=O)O)c3)cc2C(=O)N(C)c2ccc(Cl)nc21,6.72,1
40,CCN1c2ncc(COc3cccc(OC)c3)cc2C(=O)N(C)c2ccc(Cl)nc21,6.89,1
41,CCN1c2ncc(COc3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21,7.7,1
42,CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2ccc(Cl)nc21,7.15,1
43,CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2ccc(F)nc21,7.4,1
44,CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2cccnc21,7.3,1
45,CCN1c2ncc(CSc3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21,7.52,1
46,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3c[nH]c4ccc(OC)cc34)nc21,6.03,0
47,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3c[nH]c4ccccc34)nc21,7.01,1
48,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3c[nH]c4cnccc34)nc21,7.49,1
49,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3cc[nH]c3)nc21,7.3,1
50,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3ccc(N)cc3)nc21,6.59,1
51,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3ccc(N)nc3)nc21,6.39,0
52,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3ccc(O)cc3)nc21,8.0,1
53,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3cn[nH]c3)nc21,7.1,1
54,CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21,5.96,0
55,CCN1c2ncccc2C=Cc2cccnc21,5.82,0
