,SMILES_NS,pIC50,activity
0,C#CCN1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,5.74,0
1,C#CN1c2ccccc2N(C)C(=O)c2cccnc21,6.19,0
2,C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@]3(C)Cl,6.7,1
3,C#Cc1ccc2c(n1)N(CC)c1ncccc1C(=O)N2C,6.85,1
4,C#Cc1ccc2nc(S)n3c2c1CN(CC=C(C)C)[C@@H](C)C3,4.53,0
5,C/C=C/Nc1ccc2c(n1)N(CC)c1ncccc1C(=O)N2C,6.41,0
6,C1=Cc2cccnc2N(C2CC2)c2ncccc21,8.0,1
7,C=C(C)CN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)C(C)C1,6.17,0
8,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(C(C)C)C1,4.9,0
9,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(C)C1,4.49,0
10,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(CCC)C1,4.32,0
11,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)CC1C,4.46,0
12,C=C(C)CN1Cc2cccc3nc(S)n(c23)CC1C,7.59,1
13,C=C(C)OC(=O)N1c2cc(Cl)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,6.5,0
14,C=C(C)OC(=O)N1c2cc(F)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,6.74,1
15,C=C(C)OC(=O)N1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,6.77,1
16,C=CCC1(CC)Oc2ccccc2-n2cccc2C1=O,5.3,0
17,C=CCC1(c2ccccc2)Oc2ccccc2-n2cccc2C1=O,4.6,0
18,C=CCN1C(=O)c2ccccc2Oc2ccccc21,6.33,0
19,C=CCN1C(=O)c2cccnc2Nc2ccccc21,5.85,0
20,C=CCN1c2cc(Cl)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,6.19,0
21,C=CCN1c2cc(F)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,6.91,1
22,C=CCN1c2cc(OC)ccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,6.91,1
23,C=CCN1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,6.22,0
24,C=CCN1c2ncccc2C(=O)N(C)c2cccnc21,6.07,0
25,C=CCOC(=O)N1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F,6.83,1
26,C=CCOC(=O)c1cccn1S(=O)(=O)c1cc(Cl)ccc1N,6.05,0
27,C=CCOCc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,5.85,0
28,C=CCn1cnc2c(ncn2[C@@H]2O[C@H](COC)[C@@H](OP(C)(=O)O)[C@H]2OC)c1=O,4.3,0
29,C=CCn1cnc2c(ncn2[C@@H]2O[C@H](COC)[C@@H](OP(C)(O)=S)[C@H]2OC)c1=O,7.41,1
30,C=Cc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,7.64,1
31,C=Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,6.96,1
32,CC#Cc1c(C)nn(-c2ccccc2)c1-c1ccccc1,5.81,0
33,CC(/C=C1\SC(=S)N(CCC(=O)Nc2ccc(O)c(C(=O)O)c2)C1=O)=C\c1ccccc1,4.64,0
34,CC(=O)CC(=O)c1c(O)c2c(=O)oc3c4ccccc4ccc3c2oc1=O,4.29,0
35,CC(=O)CC(=O)c1c(O)c2c(=O)oc3ccc4ccccc4c3c2oc1=O,4.86,0
36,CC(=O)CC(=O)c1c(O)c2c(=O)oc3ccccc3c2oc1=O,4.07,0
37,CC(=O)CSc1nc(O)c(C(C)C)c(Cc2cccc3ccccc23)n1,6.39,0
38,CC(=O)CSc1nc(O)c(C)c(Cc2cccc3ccccc23)n1,5.95,0
39,CC(=O)N1c2cc(C)c(C)cc2N(C)C(=O)c2cccnc21,6.38,0
40,CC(=O)N1c2ncccc2C(=O)N(C)c2cccnc21,4.82,0
41,CC(=O)NC1=CC(=O)c2ccc(-c3[nH]c(C(=O)O)cc4c5ccccc5nc3-4)nc2C1=O,4.88,0
42,CC(=O)NC1=CC(=O)c2ccc(-c3[nH]c(C(N)=O)cc4c5ccccc5nc3-4)nc2C1=O,4.9,0
43,CC(=O)NCc1ccc(F)c(CCNC(=S)Nc2ccc(Br)cn2)c1F,7.35,1
44,CC(=O)Nc1ccc2[nH]c(C(=O)N3CCN(c4ncccc4NC(C)C)CC3)cc2c1,5.74,0
45,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)CN(C)c1ccccc1S2,4.83,0
46,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)CNc1ccccc1S2,4.94,0
47,CC(=O)c1c(O)c2c(=O)oc3c(C)cccc3c2oc1=O,4.59,0
48,CC(=O)c1c(O)c2c(=O)oc3ccc(C)cc3c2oc1=O,5.17,0
49,CC(=O)c1c(O)c2c(=O)oc3ccccc3c2oc1=O,4.58,0
50,CC(=O)c1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,6.52,1
51,CC(=O)c1ccc(F)c(C2CC2NC(=O)Nc2ccc(Br)cn2)c1O,8.46,1
52,CC(=O)c1ccc(F)c(C2CC2NC(=O)Nc2ccc(C#N)cn2)c1O,8.28,1
53,CC(C)(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,5.32,0
54,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc3c(=O)n(O)c(=O)[nH]c3c2)cc1,5.23,0
55,CC(C)=CCN1CC(C)n2c(S)nc3cccc(c32)C1C,4.59,0
56,CC(C)=CCN1CCn2c(=O)[nH]c3cc(Cl)cc(c32)C1C,6.8,1
57,CC(C)=CCN1CCn2c(=O)[nH]c3ccc(Cl)c(c32)C1C,6.84,1
58,CC(C)=CCN1CCn2c(=O)[nH]c3cccc(c32)C1C,4.92,0
59,CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1,6.8,1
60,CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1C,7.64,1
61,CC(C)=CCN1CCn2c(=S)[nH]c3ccc(Cl)c(c32)C1,7.34,1
62,CC(C)=CCN1CCn2c(=S)[nH]c3ccc(Cl)c(c32)C1C,7.92,1
63,CC(C)=CCN1CCn2c(=S)[nH]c3cccc(c32)C1C,7.11,1
64,CC(C)=CCN1Cc2c(C#N)ccc3nc(S)n(c23)C[C@@H]1C,4.25,0
65,CC(C)=CCN1Cc2c(C)ccc3nc(S)n(c23)C[C@@H]1C,4.87,0
66,CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,8.3,1
67,CC(C)=CCN1Cc2c(F)ccc3nc(S)n(c23)C[C@@H]1C,5.24,0
68,CC(C)=CCN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)C[C@@H]1C,6.7,1
69,CC(C)=CCN1Cc2cc(Cl)cc3nc(O)n(c23)CC1C,6.74,1
70,CC(C)=CCN1Cc2cc(Cl)cc3nc(S)n(c23)CC1C,7.37,1
71,CC(C)=CCN1Cc2cccc3[nH]c(=S)n(c23)C(C)C1C,5.65,0
72,CC(C)=CCN1Cc2cccc3[nH]c(=S)n(c23)C[C@@H]1C,7.15,1
73,CC(C)=CCN1Cc2cccc3nc(O)n(c23)C(C)C1C,4.25,0
74,CC(C)=CCN1Cc2cccc3nc(O)n(c23)CC1C,5.48,0
75,CC(C)=CCN1Cc2cccc3nc(S)n(c23)C(Cl)[C@@H]1C,6.7,1
76,CC(C)=CCN1Cc2cccc3nc(S)n(c23)C[C@H]1C,7.15,1
77,CC(C)=CCN1[C@@H](C)c2cc(Cl)cc3nc(O)n(c23)C[C@H]1C,6.64,1
78,CC(C)=CCN1[C@@H](C)c2cc(Cl)cc3nc(S)n(c23)C[C@H]1C,6.32,0
79,CC(C)=CCN1[C@@H](C)c2cccc3[nH]c(=S)n(c23)C[C@H]1C,5.94,0
80,CC(C)=CCN1[C@H](C)Cn2c(=S)[nH]c3cccc(c32)[C@H]1C,7.38,1
81,CC(C)=CCc1c(O)cc(O)c2c(-c3ccccc3)cc(=O)oc12,4.95,0
82,CC(C)C#CC1(C(C)C)NS(=O)(=O)Nc2ccc(Cl)cc21,6.86,1
83,CC(C)C#CC1(C(F)(F)F)OC(=O)Nc2ccc(N)cc21,6.05,0
84,CC(C)C#CC1(C(F)(F)F)OC(=O)Nc2ccc([N+](=O)[O-])cc21,6.7,1
